-0.999992,-0.802128
-0.999988,0.440681
-0.999972,0.748291
-0.999949,0.924489
-0.999874,0.975305
-0.999572,0.984238
-0.999105,0.996528
-0.997221,0.999444
-0.994256,0.999798
-0.990472,0.999858
-0.980521,0.999979
-0.910584,0.999991
-0.864224,0.999997
-0.073014,0.999999
0.734018,0.999999
0.964225,0.999995
0.983968,0.999605
0.991879,0.999232
0.999895,0.997526
0.999919,0.900155
0.999946,0.753343
0.999992,0.480960
0.999994,0.187512
0.999958,-0.960070
0.999514,-0.985089
0.998304,-0.993705
0.997127,-0.997336
0.973468,-0.999320
0.885807,-0.999947
0.757387,-0.999980
0.315299,-0.999997
-0.977826,-0.999960
-0.988041,-0.999684
-0.997528,-0.997952
-0.999601,-0.991893
-0.999990,-0.900361
