serial_jarvis	5	10407500.000000	100000
parallel_jarvis	5	4448700.000000	100000
serial_graham	5	26679340.000000	100000
parallel_graham	5	7840940.000000	100000
serial_chans	5	25095120.000000	100000
parallel_chans	5	20047480.000000	100000
serial_qh	5	40039840.000000	100000
parallel_qh	5	24279980.000000	100000
serial_jarvis	5	20385860.000000	200000
parallel_jarvis	5	8830400.000000	200000
serial_graham	5	60497920.000000	200000
parallel_graham	5	14312980.000000	200000
serial_chans	5	39257040.000000	200000
parallel_chans	5	21967880.000000	200000
serial_qh	5	76998260.000000	200000
parallel_qh	5	37116120.000000	200000
serial_jarvis	5	36162160.000000	400000
parallel_jarvis	5	16399980.000000	400000
serial_graham	5	128506520.000000	400000
parallel_graham	5	32883740.000000	400000
serial_chans	5	76026300.000000	400000
parallel_chans	5	41433500.000000	400000
serial_qh	5	129393300.000000	400000
parallel_qh	5	59343760.000000	400000
serial_jarvis	5	79387780.000000	800000
parallel_jarvis	5	36814480.000000	800000
serial_graham	5	256123040.000000	800000
parallel_graham	5	62985580.000000	800000
serial_chans	5	144151200.000000	800000
parallel_chans	5	68277560.000000	800000
serial_qh	5	281739440.000000	800000
parallel_qh	5	115581480.000000	800000
serial_jarvis	5	174626880.000000	1600000
parallel_jarvis	5	80317920.000000	1600000
serial_graham	5	538964400.000000	1600000
parallel_graham	5	153763760.000000	1600000
serial_chans	5	294840400.000000	1600000
parallel_chans	5	139232140.000000	1600000
serial_qh	5	588185080.000000	1600000
parallel_qh	5	247094900.000000	1600000
serial_jarvis	5	440190680.000000	3200000
parallel_jarvis	5	202792840.000000	3200000
serial_graham	5	1144033480.000000	3200000
parallel_graham	5	290975500.000000	3200000
serial_chans	5	592397180.000000	3200000
parallel_chans	5	239478340.000000	3200000
serial_qh	5	1153924860.000000	3200000
parallel_qh	5	444833620.000000	3200000
